date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,5.5815845,1.8944671,1.599,0.462,4.203,1.2791682,30.531
2016-07-01 01:00:00,5.494305,2.1948755,1.492,0.426,4.142,1.371,27.787
2016-07-01 02:00:00,4.8708253,1.6427711,1.4951216,0.355,3.777,1.218,27.787
2016-07-01 03:00:00,5.282715,2.0248103,1.279,0.391,3.807,1.279,25.253841
2016-07-01 04:00:00,5.6273212,1.9783767,1.383684,0.49298897,3.868,1.279,21.948
2016-07-01 05:00:00,5.626,2.143,1.528,0.4627515,4.2077613,1.3420284,21.174
2016-07-01 06:00:00,7.167,2.947,2.3738434,0.8092787,5.026,1.8354083,22.792
2016-07-01 07:00:00,7.435,3.282,2.31,0.8990801,5.087,2.0686502,23.144
2016-07-01 08:00:00,5.559,3.014,2.452,0.7572658,2.955,1.2848172,21.667
2016-07-01 09:00:00,4.555,2.545,1.919,0.817,2.68,0.99068874,17.446
2016-07-01 10:00:00,4.957,2.545,1.9345129,0.853,2.955,1.399603,19.979
2016-07-01 11:00:00,5.76,2.545,2.1426418,0.853,3.446962,1.492,20.119
2016-07-01 12:00:00,4.689,2.545,2.070439,0.8539393,2.833,1.523,20.477747
2016-07-01 13:00:00,4.689,2.2644942,1.5333161,1.3000703,3.4736736,1.614,18.82926
2016-07-01 14:00:00,5.09,2.981343,2.8682022,1.3398789,2.559,1.432,16.88269
2016-07-01 15:00:00,5.09,3.337889,2.771977,1.1469095,2.4620616,1.523,14.700753
2016-07-01 16:00:00,4.22,2.5557315,1.706,0.6485173,2.5769556,1.492,21.13448
2016-07-01 17:00:00,4.756,2.354262,1.635,0.66711444,2.9037018,1.492,19.134
2016-07-01 18:00:00,5.626,3.0087366,2.523,1.1953148,2.7940657,1.492,20.682
2016-07-01 19:00:00,5.492,3.014,2.452,1.150292,3.2802598,1.553,18.484838
2016-07-01 20:00:00,5.358,3.014,2.452,1.2583119,3.308776,1.8826334,17.868
2016-07-01 21:00:00,5.09,2.947,2.381,1.208,3.096321,1.523,22.390875
2016-07-01 22:00:00,4.823,2.947,2.203,1.173,2.619,1.523,17.565145
2016-07-01 23:00:00,4.622,2.88,2.2196105,1.137,2.467,1.492,20.502258
2016-07-02 00:00:00,5.224,3.1264536,2.701,1.2938743,2.437,1.523,18.575224
2016-07-02 01:00:00,5.157,3.2045934,2.8661098,1.434184,2.345,1.432,19.62952
2016-07-02 02:00:00,5.157,3.2535262,2.86954,1.5059873,2.284,1.432,20.049
2016-07-02 03:00:00,5.157,3.3263443,3.286597,1.6242552,2.193,1.4662526,19.829615
2016-07-02 04:00:00,4.555,3.072953,2.3797662,1.3928298,2.1167395,1.4132113,21.238367
2016-07-02 05:00:00,5.425,3.3343241,2.791027,1.706,2.3166506,1.7881238,20.634995
2016-07-02 06:00:00,5.3156157,3.4625194,2.5049374,1.492,2.985,1.6809545,21.739534
2016-07-02 07:00:00,5.522166,3.783007,2.7675369,1.492,3.076,1.3732375,18.721886
2016-07-02 08:00:00,5.5514636,3.3666368,2.6389384,1.67,2.924,1.5750724,20.612
2016-07-02 09:00:00,4.5134454,3.215,2.5078473,1.3919415,2.68,1.4632094,20.413542
2016-07-02 10:00:00,10.507821,4.957,6.2376523,3.305,3.046,1.553,18.145763
2016-07-02 11:00:00,11.750048,5.425,8.173,2.523,3.686,1.5324206,19.578543
2016-07-02 12:00:00,9.645,4.481244,6.752,2.132,3.107,1.828,25.102285
2016-07-02 13:00:00,10.382,5.76,7.462,2.8279805,2.985,1.767,16.576366
2016-07-02 14:00:00,8.774,4.689,6.112,2.1122267,2.894,1.919,24.299873
2016-07-02 15:00:00,10.449,5.6872,6.8240724,2.0358226,2.772,1.736,19.521202
2016-07-02 16:00:00,9.846,4.823,7.6520944,2.2111175,2.894,1.8890483,20.397371
2016-07-02 17:00:00,9.913,4.823,7.091005,2.3095877,3.229,1.7641232,25.466
2016-07-02 18:00:00,10.65,4.689,6.498268,2.1822515,3.3635976,1.7559512,25.888
2016-07-02 19:00:00,10.114,4.354,6.7614098,1.7704953,3.097675,1.3420067,26.812588
2016-07-02 20:00:00,9.98,4.261986,6.574,1.391665,3.5207105,2.1073458,27.295
2016-07-02 21:00:00,9.219767,4.22,6.005,1.8790402,2.9818046,1.858,22.23
2016-07-02 22:00:00,9.343441,4.622,6.965,2.168,3.9306698,2.0643792,21.948
2016-07-02 23:00:00,9.338606,4.287,6.823,2.3120859,2.377054,1.736,27.295
2016-07-03 00:00:00,9.187773,3.7461634,7.8105593,2.31,2.8766348,1.675,29.335
2016-07-03 01:00:00,9.74484,5.424342,6.716,2.5595405,2.65,1.675,26.028
2016-07-03 02:00:00,10.382,4.8102493,7.32,2.2380295,2.985,1.858,24.34
2016-07-03 03:00:00,9.779,3.975927,6.823,1.99,2.1907625,1.675,26.45
2016-07-03 04:00:00,10.717,5.5620503,6.512537,2.807,2.65,1.797,25.958
2016-07-03 05:00:00,10.315,4.689,7.391,2.452,2.924,1.858,26.075005
2016-07-03 06:00:00,12.592,5.224,8.671,2.203,3.716,1.949,25.325
2016-07-03 07:00:00,11.119,4.622,7.889,2.843,3.625,1.9998207,23.637
2016-07-03 08:00:00,10.65,4.421,7.036,2.025,3.4556117,1.919,26.38
2016-07-03 09:00:00,10.047,4.7163053,6.432,1.6683412,4.2833877,1.949,27.365
2016-07-03 10:00:00,10.8856945,3.990314,7.889,2.4896924,3.1894624,1.858,28.068
2016-07-03 11:00:00,11.2328,5.504058,8.066,2.484247,3.792878,1.919,29.475
2016-07-03 12:00:00,11.401498,5.3346157,6.858,2.5531383,4.07234,1.858,26.802
2016-07-03 13:00:00,7.5274777,5.6610246,7.064657,2.6430511,3.2279887,1.888,29.968
2016-07-03 14:00:00,7.538125,4.7359,8.817501,3.02,3.076,1.888,30.39
2016-07-03 15:00:00,8.6388235,5.4852343,6.048065,2.665,3.2788682,2.0517898,31.164
2016-07-03 16:00:00,9.529435,4.3183684,6.228928,2.985,3.076,1.7620792,29.757
2016-07-03 17:00:00,11.444462,5.360572,6.185907,2.914,3.4956229,1.8870527,36.155323
2016-07-03 18:00:00,10.6854105,4.957,9.432616,2.523,3.686,2.084114,28.733463
2016-07-03 19:00:00,11.630594,4.89,9.3295965,2.487,3.594,1.7487803,31.76324
2016-07-03 20:00:00,11.186,4.89,7.1482935,2.345,3.96,1.919,19.29967
2016-07-03 21:00:00,10.449,4.89,9.475335,2.31,3.807,2.041,22.291475
2016-07-03 22:00:00,9.578,5.9553905,7.3415036,3.127,3.259,1.888,17.868475
2016-07-03 23:00:00,9.312381,5.76,6.4997363,3.056,3.168,2.1983986,20.856684
