date,absv_850_绝对涡度,clwmr_850_云水混合比,gh_850_位势高度,r_850_相对湿度,q_850_比湿,t_850_温度,u_850_纬向风速,v_850_经向风速,w_850_垂直风速,absv_500_绝对涡度,clwmr_500_云水混合比,gh_500_位势高度,r_500_相对湿度,q_500_比湿,t_500_温度,u_500_纬向风速,v_500_经向风速,w_500_垂直风速,o3mr_臭氧混合比,lftx4_4层最佳抬升指数,cape_对流有效能,cin_对流抑制能,gh_surface_位势高度,lftx_surface_地面抬升指数,surface_pressure_地面气压,pressure_气压,t_surface_温度,u_surface_纬向风速,v_surface_经向风速,vertical_wind_shear_垂直速度切变,OT
2021-07-01 00:00:00,-0.52207106,-0.16569968,0.20674345,-2.5700512,-2.7270868,-0.7108346,-0.7029849,-0.18380643,0.16533768,0.0004528854,-0.24583025,0.13405037,0.6470541,0.7210532,0.37136292,-1.3391603,-0.6484182,0.32758546,-0.30325902,3.0017478,-1.7995832,0.32331574,0.9215441,3.0258224,0.65082103,-0.7134433,-0.89226544,-2.2422438,0.22093222,0.31042862,-0.385918
2021-07-01 06:00:00,-0.5041565,6.824435,0.033797257,1.4427073,0.2866354,-3.4874074,-0.39035293,0.28252834,0.28429618,0.14900279,-0.270023,-0.3040952,0.9510218,0.8197131,-0.60541415,-0.9950181,0.00675287,-0.058750033,-0.31708413,1.2091557,-1.4823948,0.32453683,0.95428896,1.2041523,0.47874913,-0.70585203,-0.8769535,-2.3665175,0.33400965,-0.56427026,-0.40726835
2021-07-01 12:00:00,0.6090976,-0.15036105,-0.03484245,-2.4921167,-2.6744664,-0.90429604,0.14343163,0.4574302,0.32906252,0.17808643,-0.23592874,-0.35505593,0.6437863,0.46124873,-0.889942,-0.56999934,0.042939056,0.1950567,-0.20206665,1.6077195,-1.7524761,-3.8540452,0.5603724,1.5987475,0.36261448,-0.49823445,-0.5415874,-2.2216325,-0.18720944,0.44757706,-0.14888382
2021-07-01 18:00:00,-0.83025855,-0.18749103,0.26527822,0.058332056,-0.3782969,-1.6936747,0.23498449,0.20985582,0.36446336,0.10963531,-0.26500314,-0.18487918,0.12565793,0.043062966,-0.51661134,-0.5012876,-0.19831344,0.2863335,-0.26329598,0.67589,-0.8228942,0.32899556,0.67911386,0.63913804,0.51038176,-0.53537893,-0.60139775,-1.9869554,0.27138674,0.49603182,-0.40726835
2021-07-02 00:00:00,-0.7007101,-0.17903411,-0.06871517,-0.20826122,-0.5313751,-1.1874554,0.104829445,0.35004908,0.7930142,0.34943202,-0.29162815,-0.29232258,-0.19032842,-0.19812883,0.1908067,-0.5383639,0.25845885,0.34101596,-0.19159758,0.6974881,-0.585788,0.35965136,0.37604678,0.6452417,0.12425604,-0.35301453,-0.35919315,-1.5234472,-0.0021094042,1.3717704,-0.3310431
2021-07-02 06:00:00,-0.6037324,-0.18826778,-0.1544666,-1.0285712,-1.2441442,-0.8997903,0.503781,0.53854185,0.39420912,0.038456198,-0.27452648,-0.6488209,-0.5802101,-0.5750812,0.09463169,-0.17034246,0.68373984,0.3803188,-0.064732194,1.0161268,-0.66272974,0.4320787,0.27222005,0.90987474,0.09755901,-0.30938524,-0.31228086,-1.5653889,0.37119204,1.0636307,-0.29674625
2021-07-02 12:00:00,-0.7695429,-0.19742678,-0.059267275,-1.4803067,-1.5790021,-0.35169077,0.5278082,0.49703532,0.49498418,0.09329771,-0.27452648,-0.5551746,-0.93906844,-0.95776796,-0.2502299,-0.025491018,0.22888811,0.20054725,0.021219462,0.48687795,-0.2007743,0.46396133,0.27134642,0.40459058,0.1288629,-0.31189904,-0.3269197,-1.6419429,0.84572697,0.6324881,-0.39277738
2021-07-02 18:00:00,-0.7805319,-0.16569968,-0.22092111,-0.0906429,-0.081708334,0.006865668,0.7767652,0.9155683,0.5448548,-0.068382226,-0.27452648,-0.41861513,-0.65271884,-0.65546936,-0.16139993,0.010067723,0.65062666,0.6021022,0.06147967,-0.44438285,1.1085005,0.32671311,-0.43145576,-0.49986675,-0.20973304,0.2046793,0.457019,-0.60713357,1.1706033,0.29534864,-0.4257968
2021-07-03 00:00:00,-1.0436395,-0.19210318,-0.51497585,-0.05854798,0.19096185,0.82365215,1.116989,1.6315374,0.5464639,-0.021863427,-0.27452648,-0.48824686,-0.4875019,-0.5188874,-0.6053871,0.41269705,0.94104266,0.18941057,0.20430778,-1.5894128,2.2956016,0.39676154,-2.0924764,-1.6748544,-0.6567479,1.8240734,2.4582975,-0.24541079,0.4039431,0.07049883,0.56140107
2021-07-03 06:00:00,-0.99703234,-0.18619311,-0.7900065,0.29130167,0.75661767,1.3377274,1.4971268,1.851103,0.41553697,-0.67967975,-0.27452648,-0.7029104,0.43355277,0.23256493,-0.6765026,0.6253559,2.0489557,0.100946255,0.2086368,-1.8661485,2.1448586,0.36861333,0.664891,-1.871661,-0.9928208,-0.546621,-0.7846468,0.038454182,-1.1975684,-1.0730573,-0.40726835
